Service description,Service ID,Cost (₹),Discounts (₹),Promotions & others (₹),Unrounded subtotal (₹),Subtotal (₹),Percent change in subtotal compared to previous period
Gemini API,AEFD-7695-64FA,60978.85,0.00,-25715.80,35263.053765,35263.05,New
,,,,Subtotal,35263.053765,35263.05
,,,,Tax,0.000000,0.00
,,,,Total,35263.053765,35263.05
